Comment,Designator,Value,Footprint,JLCPCB Part #
Hall Effect Sensor,HE26,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE27,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE28,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE29,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE30,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE31,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE32,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE33,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE34,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE35,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE36,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE37,SS39ET ,SOT-23,C126669 
Conn_01x06,J1,,JUSHUO_AFA07-S06FCA-00_1x6-1MP_P1.0mm_Horizontal,C262712 
Conn_01x04,J2,,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524 
10k,R2,10k,R_0402_1005Metric,C25744 
10k,R3,10k,R_0402_1005Metric,C25744 
Switch,SW1,,SW_Push_1P1T_XKB_TS-1187A,C318884 
Switch,SW2,,SW_Push_1P1T_XKB_TS-1187A,C318884 
STM32F446RET6,U1,,LQFP-64_10x10mm_P0.5mm,C69336 
XC6206P332MR-G,U3,,SOT-23-3,C5446 
TLV75733PDBV,U4,,SOT-23-5,C485517 
USBLC6-2SC6,U5,,SOT-23-6,C7519 
X322516MLB4SI ,Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738 
